Type,T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,r_used,q_used
PUT,0.5475701574264202,145.0,6.925,6.93,0.01,6.9,-0.03,0.4925026589404373,0.0399,0.0002
PUT,0.5475701574264202,150.0,8.05,8.11,0.06,8.1,0.05,0.48617771354395933,0.0399,0.0002
PUT,0.5475701574264202,160.0,10.725000000000001,10.88,0.16,10.92,0.19,0.47515699244866755,0.0399,0.0002
PUT,0.5475701574264202,170.0,14.0,14.23,0.23,14.31,0.31,0.46579827593693274,0.0399,0.0002
PUT,0.5475701574264202,190.0,22.575,22.8,0.23,22.87,0.29,0.45308646467284197,0.0399,0.0002
CALL,0.5475701574264202,195.0,25.549999999999997,25.65,0.1,25.7,0.15,0.45253362396707386,0.0399,0.0002
CALL,0.5475701574264202,200.0,23.3,23.45,0.15,23.47,0.17,0.4491070742446594,0.0399,0.0002
CALL,0.5475701574264202,210.0,19.35,19.5,0.15,19.43,0.08,0.4446196646969096,0.0399,0.0002
CALL,0.5475701574264202,220.0,15.975000000000001,16.12,0.14,15.94,-0.03,0.4409770478566789,0.0399,0.0002
CALL,0.5475701574264202,230.0,13.149999999999999,13.25,0.1,12.96,-0.19,0.4385696524693721,0.0399,0.0002
PUT,0.6242299794661191,145.0,8.05,7.98,-0.07,7.96,-0.09,0.4947061678256239,0.0399,0.0002
PUT,0.6242299794661191,150.0,9.274999999999999,9.24,-0.03,9.25,-0.03,0.48914466191868844,0.0399,0.0002
PUT,0.6242299794661191,160.0,12.149999999999999,12.16,0.01,12.21,0.06,0.47968700996253644,0.0399,0.0002
PUT,0.6242299794661191,170.0,15.600000000000001,15.63,0.03,15.71,0.11,0.4716621199832085,0.0399,0.0002
PUT,0.6242299794661191,190.0,24.375,24.33,-0.05,24.39,0.02,0.4604896464026678,0.0399,0.0002
CALL,0.6242299794661191,195.0,27.875,27.77,-0.11,27.81,-0.06,0.45881928631565716,0.0399,0.0002
CALL,0.6242299794661191,200.0,25.675,25.57,-0.1,25.59,-0.09,0.45623947134880005,0.0399,0.0002
CALL,0.6242299794661191,210.0,21.725,21.6,-0.12,21.54,-0.19,0.4522054960385756,0.0399,0.0002
CALL,0.6242299794661191,220.0,18.275,18.16,-0.11,17.99,-0.28,0.44843153680891584,0.0399,0.0002
CALL,0.6242299794661191,230.0,15.375,15.21,-0.16,14.92,-0.45,0.44641424677278874,0.0399,0.0002
PUT,0.7967145790554415,145.0,10.325,10.2,-0.12,10.19,-0.13,0.4965643237849551,0.04,0.0002
PUT,0.7967145790554415,150.0,11.75,11.61,-0.14,11.62,-0.13,0.492737974916603,0.04,0.0002
PUT,0.7967145790554415,160.0,14.925,14.8,-0.13,14.84,-0.08,0.4848476800676045,0.04,0.0002
PUT,0.7967145790554415,170.0,18.625,18.49,-0.14,18.56,-0.07,0.4781742441480268,0.04,0.0002
PUT,0.7967145790554415,190.0,27.700000000000003,27.41,-0.29,27.46,-0.24,0.4690818107300169,0.04,0.0002
CALL,0.7967145790554415,195.0,32.45,32.18,-0.27,32.2,-0.25,0.4664678917723561,0.04,0.0002
CALL,0.7967145790554415,200.0,30.299999999999997,30.01,-0.29,30.0,-0.3,0.46449013564620084,0.04,0.0002
CALL,0.7967145790554415,210.0,26.35,26.03,-0.32,25.95,-0.4,0.460857479821964,0.04,0.0002
CALL,0.7967145790554415,220.0,22.85,22.51,-0.34,22.33,-0.52,0.45771994625565343,0.04,0.0002
CALL,0.7967145790554415,230.0,19.799999999999997,19.42,-0.38,19.13,-0.67,0.45551161454588396,0.04,0.0002
PUT,0.8733744010951403,144.0,10.774999999999999,10.85,0.08,10.83,0.06,0.4934886533147839,0.04,0.0002
PUT,0.8733744010951403,155.0,14.075,14.18,0.1,14.2,0.12,0.48506851462021794,0.04,0.0002
PUT,0.8733744010951403,167.0,18.4,18.47,0.07,18.52,0.12,0.47798892484867755,0.04,0.0002
PUT,0.8733744010951403,177.0,22.525,22.58,0.06,22.64,0.11,0.4724327263271793,0.04,0.0002
PUT,0.8733744010951403,191.0,29.275,29.16,-0.11,29.18,-0.09,0.4679156626069733,0.04,0.0002
CALL,0.8733744010951403,192.0,35.375,35.36,-0.02,35.38,0.0,0.4660550417824081,0.04,0.0002
CALL,0.8733744010951403,212.0,27.125,27.14,0.02,27.03,-0.1,0.45761981011875524,0.04,0.0002
CALL,0.8733744010951403,217.0,25.375,25.36,-0.01,25.2,-0.17,0.456354579663107,0.04,0.0002
CALL,0.8733744010951403,222.0,23.725,23.69,-0.04,23.48,-0.25,0.45516066641225544,0.04,0.0002
CALL,0.8733744010951403,226.0,22.425,22.42,-0.0,22.17,-0.25,0.4535579747884917,0.04,0.0002
CALL,0.8733744010951403,235.0,19.825,19.79,-0.03,19.44,-0.38,0.45165436415156374,0.04,0.0002
PUT,0.9500342231348392,145.0,11.975000000000001,12.02,0.05,12.0,0.03,0.4939162658961103,0.0401,0.0002
PUT,0.9500342231348392,150.0,13.475000000000001,13.53,0.06,13.53,0.06,0.49011840261921585,0.0401,0.0002
PUT,0.9500342231348392,160.0,16.825,16.91,0.08,16.94,0.11,0.48319307826433255,0.0401,0.0002
PUT,0.9500342231348392,170.0,20.700000000000003,20.75,0.05,20.79,0.09,0.47787393534284006,0.0401,0.0002
PUT,0.9500342231348392,190.0,29.950000000000003,29.84,-0.11,29.85,-0.1,0.4701677216304688,0.0401,0.0002
CALL,0.9500342231348392,195.0,35.75,35.77,0.02,35.76,0.01,0.46613838249416767,0.0401,0.0002
CALL,0.9500342231348392,200.0,33.6,33.63,0.03,33.59,-0.01,0.4640088610242033,0.0401,0.0002
CALL,0.9500342231348392,210.0,29.65,29.67,0.02,29.56,-0.09,0.46048312288171983,0.0401,0.0002
CALL,0.9500342231348392,220.0,26.125,26.12,-0.0,25.92,-0.2,0.45759485554541707,0.0401,0.0002
CALL,0.9500342231348392,230.0,23.0,22.96,-0.04,22.66,-0.34,0.4553369352963336,0.0401,0.0002
PUT,1.3689253935660506,145.0,16.299999999999997,16.36,0.06,16.28,-0.02,0.4966463770193165,0.0403,0.0002
PUT,1.3689253935660506,150.0,18.025,18.08,0.06,18.01,-0.02,0.49394934303426263,0.0403,0.0002
PUT,1.3689253935660506,160.0,21.799999999999997,21.82,0.02,21.76,-0.04,0.489344880321202,0.0403,0.0002
PUT,1.3689253935660506,170.0,25.975,25.96,-0.02,25.89,-0.09,0.4852671171004483,0.0403,0.0002
PUT,1.3689253935660506,190.0,35.725,35.37,-0.35,35.25,-0.48,0.4813694151199868,0.0403,0.0002
CALL,1.3689253935660506,195.0,44.25,44.49,0.24,44.34,0.09,0.4725834131228337,0.0403,0.0002
CALL,1.3689253935660506,200.0,42.175,42.42,0.25,42.25,0.08,0.47081071412912395,0.0403,0.0002
CALL,1.3689253935660506,210.0,38.3,38.56,0.26,38.33,0.03,0.4677304918955641,0.0403,0.0002
CALL,1.3689253935660506,220.0,34.8,35.02,0.22,34.71,-0.09,0.46549754979910846,0.0403,0.0002
CALL,1.3689253935660506,230.0,31.625,31.79,0.16,31.4,-0.23,0.4637303385442667,0.0403,0.0002
PUT,1.620807665982204,145.0,18.525,18.6,0.07,18.46,-0.06,0.49793313664234534,0.0404,0.0002
PUT,1.620807665982204,150.0,20.35,20.41,0.06,20.28,-0.07,0.4957227925384022,0.0404,0.0002
PUT,1.620807665982204,160.0,24.275,24.31,0.04,24.18,-0.1,0.4916170926450539,0.0404,0.0002
PUT,1.620807665982204,170.0,28.65,28.57,-0.08,28.42,-0.23,0.4890134833831395,0.0404,0.0002
PUT,1.620807665982204,190.0,38.525000000000006,38.12,-0.41,37.91,-0.62,0.48554546229297535,0.0404,0.0002
CALL,1.620807665982204,195.0,48.7,49.13,0.43,48.9,0.2,0.4746764564595807,0.0404,0.0002
CALL,1.620807665982204,200.0,46.7,47.12,0.42,46.86,0.16,0.4733890055493071,0.0404,0.0002
CALL,1.620807665982204,210.0,42.9,43.32,0.42,43.01,0.11,0.4706829565979876,0.0404,0.0002
CALL,1.620807665982204,220.0,39.45,39.82,0.37,39.44,-0.01,0.46882148343167707,0.0404,0.0002
CALL,1.620807665982204,230.0,36.275000000000006,36.6,0.32,36.14,-0.14,0.46716356875529513,0.0404,0.0002
PUT,1.8699520876112252,145.0,20.700000000000003,20.6,-0.1,20.4,-0.3,0.501743273951827,0.0405,0.0002
PUT,1.8699520876112252,150.0,22.6,22.48,-0.12,22.28,-0.32,0.49973114788245404,0.0405,0.0002
PUT,1.8699520876112252,160.0,26.75,26.5,-0.25,26.29,-0.46,0.497172975507248,0.0405,0.0002
PUT,1.8699520876112252,170.0,31.25,30.86,-0.39,30.63,-0.62,0.4950488163521726,0.0405,0.0002
PUT,1.8699520876112252,190.0,41.325,40.51,-0.82,40.21,-1.11,0.4927997859702217,0.0405,0.0002
CALL,1.8699520876112252,195.0,53.0,53.38,0.38,53.07,0.07,0.47869995635919627,0.0405,0.0002
CALL,1.8699520876112252,200.0,51.075,51.42,0.35,51.08,0.0,0.477807352982365,0.0405,0.0002
CALL,1.8699520876112252,210.0,47.3,47.7,0.4,47.31,0.01,0.474823221883996,0.0405,0.0002
CALL,1.8699520876112252,220.0,43.875,44.25,0.38,43.79,-0.09,0.4729036799803851,0.0405,0.0002
CALL,1.8699520876112252,230.0,40.724999999999994,41.05,0.32,40.51,-0.21,0.4714067154617876,0.0405,0.0002
PUT,1.9657768651608487,145.0,21.35,21.31,-0.04,21.09,-0.26,0.5012598337807376,0.0405,0.0002
PUT,1.9657768651608487,150.0,23.299999999999997,23.22,-0.08,23.0,-0.3,0.49970876973732803,0.0405,0.0002
PUT,1.9657768651608487,160.0,27.475,27.28,-0.19,27.05,-0.43,0.4971261040428041,0.0405,0.0002
PUT,1.9657768651608487,170.0,32.075,31.67,-0.41,31.41,-0.67,0.4959377388098511,0.0405,0.0002
PUT,1.9657768651608487,190.0,42.15,41.35,-0.8,41.03,-1.12,0.4934866549023125,0.0405,0.0002
CALL,1.9657768651608487,195.0,54.45,54.94,0.49,54.59,0.14,0.4787707674983731,0.0405,0.0002
CALL,1.9657768651608487,200.0,52.5,53.0,0.5,52.62,0.12,0.47749762136154417,0.0405,0.0002
CALL,1.9657768651608487,210.0,48.775,49.31,0.54,48.88,0.11,0.47484899480670784,0.0405,0.0002
CALL,1.9657768651608487,220.0,45.375,45.88,0.5,45.39,0.01,0.4730642378687041,0.0405,0.0002
CALL,1.9657768651608487,230.0,42.175,42.68,0.51,42.13,-0.05,0.4710454391392563,0.0405,0.0002
